DateTime,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
01/01/2018 00:00:00,5.384000000000003,6.535999999999996,4.1439999999999975,5.910000000000001,5.413999999999995,5.069999999999998,4.74,4.989999999999998,3.9600000000000013,7.110000000000004,4.775999999999999,4.639999999999997
01/01/2018 00:30:00,5.504000000000001,4.477999999999998,3.326,4.308,6.366000000000001,4.156999999999999,2.954999999999999,2.6699999999999995,2.640000000000001,5.366,3.5580000000000007,2.760000000000001
01/01/2018 01:00:00,3.5400000000000023,5.751999999999997,3.357999999999999,3.1739999999999986,5.277999999999995,2.5799999999999996,3.2099999999999986,3.71,3.872000000000001,5.366,3.1969999999999996,3.9820000000000007
01/01/2018 01:30:00,5.383999999999999,5.261999999999997,3.6599999999999993,3.6119999999999988,6.5020000000000024,3.741999999999998,2.274999999999999,2.6699999999999995,2.640000000000001,5.542,3.5430000000000006,2.760000000000001
01/01/2018 02:00:00,3.8160000000000025,4.967999999999998,3.0239999999999996,3.5459999999999976,5.141999999999995,2.829,3.2949999999999986,3.71,3.8720000000000017,5.19,3.211999999999999,3.982000000000001
01/01/2018 02:30:00,5.107999999999999,5.849999999999996,4.091999999999998,3.239999999999999,6.638000000000003,3.4929999999999977,2.189999999999999,2.8299999999999996,2.640000000000001,5.241999999999997,3.369000000000001,2.760000000000001
01/01/2018 03:00:00,4.248000000000002,4.379999999999998,2.591999999999999,3.5459999999999985,5.005999999999996,3.161000000000001,3.294999999999999,3.55,3.872000000000001,5.257999999999999,3.8629999999999978,3.982000000000001
01/01/2018 03:30:00,4.676,5.849999999999997,4.254,3.239999999999999,6.774000000000004,3.1609999999999987,2.699999999999999,3.3099999999999996,2.640000000000001,5.173999999999997,2.7180000000000013,2.854000000000001
01/01/2018 04:00:00,4.6800000000000015,4.673999999999998,2.4299999999999993,3.5459999999999994,4.8699999999999966,3.4930000000000008,2.7849999999999993,3.0699999999999994,3.8720000000000017,5.802000000000002,4.180999999999998,3.8880000000000012
01/01/2018 04:30:00,4.244000000000001,5.555999999999997,4.2540000000000004,3.6119999999999983,6.910000000000004,2.8289999999999993,3.2949999999999986,3.71,2.640000000000001,4.629999999999996,2.400000000000001,3.0420000000000007
01/01/2018 05:00:00,4.904000000000002,5.457999999999997,2.807999999999999,3.1739999999999995,4.733999999999996,3.7420000000000004,2.189999999999999,2.6699999999999995,3.872000000000001,6.142000000000001,4.180999999999999,3.7000000000000015
01/01/2018 05:30:00,4.020000000000001,4.771999999999998,3.8759999999999994,3.983999999999998,7.046000000000004,2.5799999999999996,3.294999999999999,3.71,2.640000000000001,4.589999999999999,2.718000000000001,3.2300000000000004
01/01/2018 06:00:00,5.024000000000002,5.849999999999996,3.3679999999999986,2.801999999999999,4.677999999999997,3.7419999999999995,2.189999999999999,2.6699999999999995,3.8720000000000017,5.841999999999997,3.863,3.512000000000002
01/01/2018 06:30:00,4.056000000000002,4.379999999999998,3.3159999999999994,4.355999999999999,7.034000000000003,2.5799999999999996,3.294999999999999,3.71,2.640000000000001,5.0939999999999985,3.1950000000000003,3.418
01/01/2018 07:00:00,4.988000000000002,5.849999999999997,3.6139999999999994,2.4299999999999993,4.769999999999997,3.741999999999999,2.8699999999999988,2.8299999999999996,3.872000000000001,5.3379999999999965,3.386,3.324000000000002
01/01/2018 07:30:00,4.248000000000003,6.008999999999999,3.1239999999999997,4.356000000000002,6.874000000000002,2.5799999999999996,2.822999999999999,3.55,2.640000000000001,5.937999999999999,4.085999999999999,3.6060000000000003
01/01/2018 08:00:00,4.796000000000003,10.48,3.7520000000000002,2.4299999999999993,4.929999999999997,3.741999999999998,7.4250000000000025,3.3099999999999996,3.872000000000001,5.5809999999999995,5.769000000000005,3.136000000000002
01/01/2018 08:30:00,9.900000000000002,8.774000000000001,3.363999999999998,5.661999999999999,7.584000000000003,8.687999999999995,4.320000000000003,3.4399999999999995,7.0859999999999985,10.872,5.666000000000001,3.794
01/01/2018 09:00:00,11.024000000000001,7.696,3.5119999999999996,8.731999999999994,8.090000000000003,7.8289999999999935,5.4250000000000025,7.4599999999999955,7.741999999999996,10.599000000000002,6.072000000000003,4.251
01/01/2018 09:30:00,10.843999999999996,8.969999999999999,3.5499999999999976,7.913999999999997,9.553999999999997,7.164999999999997,4.490000000000003,6.420000000000004,6.509999999999997,12.712000000000005,5.363,9.551999999999998
01/01/2018 10:00:00,10.98,7.629999999999997,3.8520000000000003,7.104000000000002,8.250000000000004,7.496999999999995,5.255000000000003,7.460000000000001,4.904000000000003,11.2,6.057000000000002,6.330000000000003
01/01/2018 10:30:00,10.783999999999997,9.120000000000001,7.348000000000002,7.541999999999998,9.393999999999998,7.496999999999998,5.170000000000003,6.420000000000004,2.640000000000001,12.372,5.378000000000001,7.551999999999998
01/01/2018 11:00:00,11.136,8.310999999999998,7.542000000000004,7.476000000000001,8.410000000000004,7.164999999999996,4.575000000000003,7.460000000000004,3.872000000000001,12.044,5.883000000000003,6.330000000000003
01/01/2018 11:30:00,10.628,8.283999999999999,7.122000000000005,7.169999999999998,9.234,7.828999999999999,5.4250000000000025,6.580000000000003,2.640000000000001,11.528000000000002,6.029000000000002,7.552
01/01/2018 12:00:00,11.447999999999997,8.97,9.974000000000006,7.475999999999998,8.638000000000003,6.832999999999997,4.320000000000003,7.300000000000006,3.872000000000001,16.412000000000003,5.232000000000002,6.330000000000003
